"","STATIONID","LAT","LONG","STATION"
"83","USC00197124","42.5333",-70.8667,"SALEM CG AIR STN"
"84","USC00200710","42.1244",-86.4267,"BENTON HARBOR AP"
"85","USC00204959","43.9636",-86.4164,"LUDINGTON AP"
"86","USC00206442","45.5719",-84.7858,"PELLSTON AP #2"
"87","USC00208252","44.7450",-85.5844,"TRAVERSE CITY AP #2"
"88","USC00217011","43.9336",-92.4728,"ROCHESTER AP 2NE"
"89","USC00230887","36.5394",-93.1997,"BRANSON AP"
"90","USC00235207","36.5997",-89.9897,"MALDEN MUNI AP"
"91","USC00242511","46.6167",-113.2,"DRUMMOND FAA AP"
"92","USC00243366","45.4453",-111.2367,"GALLATIN GATEWAY 10SSW"
"93","USC00243368","45.2333",-111.25,"GALLATIN GATEWAY 26 S"
"94","USC00243369","45.1167",-111.2333,"GALLATIN GATEWAY 32 S"
"95","USC00243372","45.2167",-111.2833,"GALLATIN GATEWAY 26 SS"
"96","USC00244558","48.3042",-114.2642,"KALISPELL GLACIER AP"
"97","USC00247501","48.5500",-111.8667,"SHELBY AP"
"98","USC00248858","44.6567",-111.0903,"W YELLOWSTONE GATEWAY"
"99","USC00251245","40.3333",-97.4333,"BRUNING STATE AP"
"100","USC00263515","38.5500",-118.6667,"HAWTHORNE AP"
"101","USC00272846","44.7925",-71.1633,"ERROL AP"
"102","USC00273488","44.3933",-71.1947,"GORHAM AP"
"103","USC00288884","40.8589",-74.0561,"TETERBORO AP"
"104","USC00293682","35.1664",-107.8992,"GRANTS AP"
"105","USC00298127","31.8728",-106.6981,"SANTA TERESA AP"
"106","USC00303508","43.2242",-75.3997,"GRIFFISS INTERNATIONAL AIRPORT"
"107","USC00307338","41.0667",-73.7167,"RYE LAKE AIRPORT"
"108","USC00317081","35.7500",-78.6167,"RALEIGH MUNI AP"
"109","USC00329426","48.2542",-103.7467,"WILLISTON AP"
"110","USC00336882","41.6500",-82.8,"PUT-IN-BAY"
"111","USC00357050","44.2603",-121.1483,"REDMOND AIR CTR"
"112","USC00366880","39.8667",-75.2322,"PHILA AP SNOW"
"113","USC00369982","40.7000",-76.3833,"ZERBEY AP"
"114","USC00383470","33.3169",-79.3228,"GEORGETOWN CO AP"
"115","USC00383742","34.8486",-82.35,"GREENVILLE DWTN AP"
"116","USC00397666","43.5878",-96.73,"SIOUX FALLS WFO AP"
"117","USC00408242","35.5606",-86.4447,"SHELBYVILLE MUNI AP"
"118","USC00409493","36.1142",-87.7419,"WAVERLY AP"
"119","USC00410058","32.9678",-96.8372,"ADDISON AIRPORT"
"120","USC00415589","30.2500",-103.8833,"MARFA CAA AP"
"121","USC00415590","30.3667",-104.0167,"MARFA AP"
"122","USC00415766","33.1828",-96.59,"MCKINNEY MUNI AP"
"123","USC00419129","26.4000",-98.35,"TRI CITY AP"
"124","USC00419367","28.8439",-96.9214,"VICTORIA RGNL AP"
"125","USC00422252","40.2000",-110.3833,"DUCHESNE AP"
