"","STATIONID","STATION"
"130","USC00502965","FAIRBANKS AP #2"
"131","USC00503500","HAINES TERMINAL"
"132","USC00506093","MT MCKINLEY NP AP"
"133","USC00506403","NIKISKI TERMINAL"
"134","USC00508107","ST MARYS AP"
"135","USC00508550","SLANA AP"
"136","USC00509685","VALDEZ AIRPORT"
"137","USC00509919","WRANGELL AP"
"138","USC00511125","HANA AP 355"
"139","USC00512307","KAANAPALI AP 453.1"
"140","USC00512317","KAANAPALI AP 453.1"
"141","USC00513078","KAMUELA AP 191"
"142","USC00513317","KAPALUA-W MAUI AP 462.4"
"143","USC00514764","KONA AP 68.3"
"144","USC00515275","LANAI AP 656"
"145","USC00518108","PORT ALLEN AP 926.10"
"146","USC00518161","PRINCEVILLE AP 1117.9"
"147","USC00518816","UPOLU AP 160.3"
"148","USC00518828","UPOLU POINT AP 16"
"149","USC00518953","WAHIAWA MAUKA INTL 882"
"150","USP00CA0003","SACRAMENTO AP ASOS"
"151","USR0000CREA","REDDING AIRPORT CALIFORNIA"
"152","USR0000CWEE","WEED AIRPORT CALIFORNIA"
"153","USR0000KJAC","JACKSON CO. AP KENTUCKY"
"154","USR0000MTHO","THOMPSON FALLS AP MONTANA"
"155","USR0000OILL","ILLINOIS VALLEY AIRPORT OREGON"
"156","USW00000102","BOB BARKER MEMORIAL AP"
"157","USW00000103","WALES AP"
"158","USW00000111","SHAKTOOLIK AP"
"159","USW00000113","ROBERT CURTIS MEMORIAL AP"
"160","USW00000130","PLEASANTON MUNI AP"
"161","USW00000132","WAUTOMA MUNI AP"
"162","USW00000133","CLINTON MUNI AP"
"163","USW00000153","CHESTERFIELD CO AP"
"164","USW00000154","HAMPTON ROADS EXECUTIVE AP"
"165","USW00000157","WALDEN JACKSON COUNTY AP"
"166","USW00000160","BOULDER MUNI AP"
"167","USW00000166","LAGO VISTA RUSTY ALLEN AP"
"168","USW00000176","STEPHENS COUNTY AP"
"169","USW00000177","CASTROVILLE MUNI AIRPORT"
"170","USW00000209","BOWIE MUNI AP"
"171","USW00000225","HORSESHOE BAY RESORT AP"
"172","USW00000229","LAMPASAS AP"
"173","USW00000230","AUSTIN EXECUTIVE AP"
"174","USW00000263","BOERNE STAGE FIELD AP"
"175","USW00000270","FAITH RCH AP"
"176","USW00000349","ANDREWS COUNTY AP"
"177","USW00000351","CAMERON MUNI AP"
"178","USW00000357","HAMILTON MUNI AP"
"179","USW00000362","GATESVILLE MUNI AP"
"180","USW00000373","HARRELL FIELD AP"
"181","USW00000393","TELLER AP"
"182","USW00000428","DEXTER B FLORENCE MEM FLD AP"
"183","USW00000448","RALPH M HALL ROCKWALL MUNI AP"
"184","USW00000461","MEXIA LIMESTONE COUNTY AP"
"185","USW00000471","PRESIDIO LELY INTL AP"
"186","USW00000477","ROGER M DREYER MEM AP"
"187","USW00000490","SHUNGNAK AP"
"188","USW00003012","TAOS MUNI AP"
"189","USW00003013","LAMAR MUNI AP"
"190","USW00003016","RIFLE GARFIELD CO AP"
"191","USW00003017","DENVER INTL AP"
"192","USW00003024","BORGER HUTCHINSON CO AP"
"193","USW00003026","BURLINGTON CARSON AP"
"194","USW00003029","WINDOW ROCK AP"
"195","USW00003030","GUYMON MUNI AP"
"196","USW00003032","DRYDEN TERRELL CO AP"
"197","USW00003035","ARTESIA MUNI AP"
"198","USW00003044","BIG SPRING WRINKLE AP"
"199","USW00003049","ALPINE CASPARIS AP"
"200","USW00003050","SNYDER WINSTON FLD AP"
"201","USW00003056","GAINES CO AP"
"202","USW00003058","PECOS MUNI AP"
"203","USW00003102","ONTARIO INTL AP"
"204","USW00003103","FLAGSTAFF AP"
"205","USW00003104","DESERT RESORTS RGNL AP"
"206","USW00003122","TORRANCE AP"
"207","USW00003144","IMPERIAL CO AP"
"208","USW00003160","DESERT ROCK AP"
"209","USW00003162","PAGE MUNI AP"
"210","USW00003166","FULLERTON MUNI AP"
"211","USW00003167","HAWTHORNE MUNI AP"
"212","USW00003170","EUREKA AP"
"213","USW00003171","RIVERSIDE MUNI AP"
"214","USW00003177","CARLSBAD MCCLELLAN PALOMAR AP"
"215","USW00003179","CHINO AP"
"216","USW00003184","PHOENIX DEER VALLEY MUNI AP"
"217","USW00003192","SCOTTSDALE MUNI AP"
"218","USW00003195","GRAND CANYON NP AP"
"219","USW00003196","NOGALES INTL AP"
"220","USW00003802","CLARKSBURG BENEDUM AP"
"221","USW00003804","PARKERSBURG AP"
"222","USW00003809","DYERSBURG MUNI AP"
"223","USW00003810","HICKORY FAA AP"
"224","USW00003811","JACKSON MCKELLAR- SIPES AP"
"225","USW00003812","ASHEVILLE AP"
"226","USW00003813","MACON MIDDLE GA RGNL AP"
"227","USW00003814","CORBIN CAA AP"
"228","USW00003817","MALDEN FAA AP"
"229","USW00003818","MARIANNA MUNI AP"
"230","USW00003820","AUGUSTA BUSH FLD AP"
"231","USW00003822","SAVANNAH INTL AP"
"232","USW00003838","VANDALIA FAA AP"
"233","USW00003847","CROSSVILLE MEM AP"
"234","USW00003849","LONDON CORBIN AP"
"235","USW00003856","HUNTSVILLE INTNL AP"
"236","USW00003859","BLUEFIELD MERCER CO AP"
"237","USW00003860","HUNTINGTON TRI-STATE AP"
"238","USW00003868","TERRE HAUTE HULMAN RGNL AP"
"239","USW00003872","BECKLEY RALEIGH CO AP"
"240","USW00003878","TROY MUNI AP"
"241","USW00003882","PANAMA CITY BAY CO AP"
"242","USW00003887","DECATUR AP"
"243","USW00003888","ATLANTA FULTON CO AP"
"244","USW00003892","AUBURN OPELIKA AP"
"245","USW00003893","BLOOMINGTON MONROE CO AP"
"246","USW00003894","CLARKSVILLE OUTLAW AP"
"247","USW00003896","GADSDEN MUNI AP"
"248","USW00003901","LONGVIEW E TX RGNL AP"
"249","USW00003918","FLIPPIN MARION CO RGNL AP"
"250","USW00003919","SALINA MUNI AP"
"251","USW00003927","DAL-FTW WSCMO AP"
"252","USW00003929","KANSAS CITY R GEBAUR AP"
"253","USW00003932","CLINTON-SHERMAN AP"
"254","USW00003935","CAPE GIRARDEAU MUNI AP"
"255","USW00003938","WAYNESVILLE REGNL AP"
"256","USW00003940","JACKSON INTL AP"
"257","USW00003945","COLUMBIA RGNL AP"
"258","USW00003947","KANSAS CITY INTL AP"
"259","USW00003950","LAWTON MUNI AP"
"260","USW00003953","JONESBORO MUNI AP"
"261","USW00003954","OKLAHOMA CITY WILEY POST AP"
"262","USW00003959","BARTLESVILLE MUNI AP"
"263","USW00003960","CAHOKIA ST LOUIS DWTN AP"
"264","USW00003961","NATCHEZ ADAM CO AP"
"265","USW00003963","JEFFERSON CITY MEM AP"
"266","USW00003965","STILLWATER RGNL AP"
"267","USW00003966","ST LOUIS SPIRIT OF ST LOUIS AP"
"268","USW00003967","OLATHE JOHNSON CO EXECUTIVE AP"
"269","USW00003971","DALLAS REDBIRD AP"
"270","USW00003975","POPLAR BLUFF MUNI AP"
"271","USW00003978","BENTONVILLE MUNI AP"
"272","USW00003985","FORT WORTH SPINKS AP"
"273","USW00003991","DENTON MUNICPAL AP"
"274","USW00003994","SEDALIA MEM AP"
"275","USW00003996","TALLULAH VICKSBURG RGNL AP"
"276","USW00003998","PARSONS TRI CITY AP"
"277","USW00003999","BURNET MUNI AP"
"278","USW00004110","JEROME CO AP"
"279","USW00004113","HERMISTON MUNI AP"
"280","USW00004114","CHALLIS AP"
"281","USW00004201","SCAPPOOSE IND AP"
"282","USW00004205","ARLINGTON MUNI AP"
"283","USW00004724","NIAGARA FALLS INTL AP"
"284","USW00004726","JOHNSTOWN CAMBRIA CO AP"
"285","USW00004742","PLATTSBURGH INTL AP"
"286","USW00004751","BRADFORD RGNL AP"
"287","USW00004780","FITCHBURG MUNI AP"
"288","USW00004781","ISLIP-LI MACARTHUR AP"
"289","USW00004787","DUBOIS RGNL AP"
"290","USW00004789","MONTGOMERY ORANGE CO AP"
"291","USW00004803","RHINELANDER ONEIDA CO AP"
"292","USW00004804","COLUMBUS OHIO STATE UNIV AP"
"293","USW00004808","CHICAGO AURORA MUNI AP"
"294","USW00004824","STURGEON BAY AP"
"295","USW00004825","APPLETON OUTAGAMIE AP"
"296","USW00004827","WASHINGTON CO AP"
"297","USW00004836","FRENCHVILLE NTHRN AROOSTOOK AP"
"298","USW00004838","CHICAGO PALWAUKEE AP"
"299","USW00004839","HOLLAND TULIP CITY AP"
"300","USW00004840","FOND DU LAC CO AP"
"301","USW00004841","SHEBOYGAN CO MEM AP"
"302","USW00004842","WOOSTER WAYNE CO AP"
"303","USW00004843","MEADVILLE PORT MEADVILLE AP"
"304","USW00004845","KENOSHA RGNL AP"
"305","USW00004846","VALPARAISO PORTER CO MUNI AP"
"306","USW00004847","ADRIAN LENAWEE CO AP"
"307","USW00004849","ELYRIA LORAIN CO AP"
"308","USW00004850","LIMA ALLEN CO AP"
"309","USW00004851","DEFIANCE AP"
"310","USW00004853","CLEVELAND BURKE LAKEFRONT AP"
"311","USW00004854","GAYLORD OTSEGO CO AP"
"312","USW00004855","MARION MUNI AP"
"313","USW00004857","ASHTABULA CO AP"
"314","USW00004858","NEWARK HEATH AP"
"315","USW00004864","ANTIGO LANGLADE CO AP"
"316","USW00004869","CHIPPEWA INTL AP"
"317","USW00004891","MERRILL MUNI AP"
"318","USW00004895","STEVENS POINT MUNI AP"
"319","USW00004901","AURORA MUNI AP"
"320","USW00004902","AUSTIN MUNI AP"
"321","USW00004916","DECORAH MUNI AP"
"322","USW00004927","PRESTONE FILLMORE AP"
"323","USW00004935","HOLDREGE BREWSTER FLD AP"
"324","USW00004955","OELWEIN MUNI AP"
"325","USW00004956","WINONA MUNI AP"
"326","USW00004963","PRAIRIE DU CHIEN AP"
"327","USW00004967","RED WING RGNL AP"
"328","USW00004978","DODGE CTR AP"
"329","USW00004998","HEBRON MUNI AP"
"330","USW00012809","BARTOW MUNI AP"
"331","USW00012812","PUNTA GORDA CHARLOTTE CO AP"
"332","USW00012815","ORLANDO INTL AP"
"333","USW00012816","GAINESVILLE RGNL AP"
"334","USW00012818","BROOKSVILLE HERNANDO CO AP"
"335","USW00012819","LEESBURG MUNI AP"
"336","USW00012832","APALACHICOLA AP"
"337","USW00012833","CROSS CITY AP"
"338","USW00012834","DAYTONA BEACH INTL AP"
"339","USW00012835","FT MYERS PAGE FLD AP"
"340","USW00012836","KEY W INTL AP"
"341","USW00012838","MELBOURNE INTL AP"
"342","USW00012839","MIAMI INTL AP"
"343","USW00012841","ORLANDO EXECUTIVE AP"
"344","USW00012842","TAMPA INTL AP"
"345","USW00012843","VERO BEACH INTL AP"
"346","USW00012844","W PALM BEACH INTL AP"
"347","USW00012849","FT LAUDERDALE INTL AP"
"348","USW00012854","ORLANDO SANFORD AP"
"349","USW00012871","SARASOTA BRADENTON AP"
"350","USW00012873","ST PETERSBURG CLEARWATER INTL"
"351","USW00012876","WINTER HAVEN GILBERT AP"
"352","USW00012882","MIAMI OPA LOCKA AP"
"353","USW00012883","LAKELAND LINDER RGNL AP"
"354","USW00012885","FT LAUDERDALE EXECUTIVE AP"
"355","USW00012888","MIAMI KENDALL TAMIAMI EXEC AP"
"356","USW00012894","FT MYERS SW FLORIDA RGNL AP"
"357","USW00012895","FT PIERCE ST LUCIE CO INTL AP"
"358","USW00012896","MARATHON AP"
"359","USW00012897","NAPLES MUNI AP"
"360","USW00012904","HARLINGEN RIO GRANDE VLY INTL"
"361","USW00012907","LAREDO INTL AP"
"362","USW00012912","VICTORIA RGNL AP"
"363","USW00012916","NEW ORLEANS AP"
"364","USW00012917","PORT ARTHUR SE TX RGNL AP"
"365","USW00012918","HOUSTON WILLIAM P HOBBY AP"
"366","USW00012920","LAREDO WB AP"
"367","USW00012921","SAN ANTONIO INTL AP"
"368","USW00012922","VICTORIA WB AP"
"369","USW00012927","HOUMA TERREBONNE AP"
"370","USW00012932","ALICE INTL AP"
"371","USW00012935","PALACIOS MUNI AP"
